,titles,descriptions,authors,urls
31,Multi-Task Offloading over Vehicular Clouds under Graph-based Representation.,"Vehicular cloud computing has emerged as a promising paradigm for realizinguser requirements in computation-intensive tasks in modern drivingenvironments. In this paper, a novel framework of multi-task offloading overvehicular clouds (VCs) is introduced where tasks and VCs are modeled asundirected weighted graphs. Aiming to achieve a trade-off between minimizingtask completion time and data exchange costs, task components are efficientlymapped to available virtual machines in the related VCs. The problem isformulated as a non-linear integer programming problem, mainly underconstraints of limited contact between vehicles as well as available resources,and addressed in low-traffic and rush-hour scenarios. In low-traffic cases, wedetermine optimal solutions; in rush-hour cases, a connection-restrictedrandommatching-based subgraph isomorphism algorithm is proposed that presentslow computational complexity. Evaluations of the proposed algorithms againstgreedy-based baseline methods are conducted via extensive simulations."," Minghui Liwang, Zhibin Gao, Seyyedali Hosseinalipour, Huaiyu Dai",http://arxiv.org/abs/1912.06243
32,Screening of Informed and Uninformed Experts.,"Testing the validity of claims made by self-proclaimed experts can beimpossible when testing them in isolation, even with infinite observations atthe disposal of the tester. However, in a multiple expert setting it ispossible to design a contract that only informed experts accept and uninformedexperts reject. The tester can pit competing forecasts of future events againsteach other and take advantage of the uncertainty experts have about the otherexperts&apos; knowledge. This contract will work even when there is only a singledata point to evaluate."," Jorge Barreras (1 and 2), Alvaro Riascos (2 and 3) ((1) Department of Mathematics, University of Pennsylvania, (2) Quantil Research, Bogota, Colombia, (3) Department of Economics, Universidad de Los Andes)",http://arxiv.org/abs/1912.06244
33,General Information Bottleneck Objectives and their Applications to Machine Learning.,"We view the Information Bottleneck Principle (IBP: Tishby et al., 1999;Schwartz-Ziv and Tishby, 2017) and Predictive Information Bottleneck Principle(PIBP: Still et al., 2007; Alemi, 2019) as special cases of a family of generalinformation bottleneck objectives (IBOs). Each IBO corresponds to a particularconstrained optimization problem where the constraints apply to: (a) the mutualinformation between the training data and the learned model parameters orextracted representation of the data, and (b) the mutual information betweenthe learned model parameters or extracted representation of the data and thetest data (if any). The heuristics behind the IBP and PIBP are shown to yielddifferent constraints in the corresponding constrained optimization problemformulations. We show how other heuristics lead to a new IBO, different fromboth the IBP and PIBP, and use the techniques from (Alemi, 2019) to derive andoptimize a variational upper bound on the new IBO.</p><p>We then apply the theory of general IBOs to resolve the seeming contradictionbetween, on the one hand, the recommendations of IBP and PIBP to maximize themutual information between the model parameters and test data, and on theother, recent information-theoretic results (see Xu and Raginsky, 2017)suggesting that this mutual information should be minimized. The key insight isthat the heuristics (and thus the constraints in the constrained optimizationproblems) of IBP and PIBP are not applicable to the scenario analyzed by (Xuand Raginsky, 2017) because the latter makes the additional assumption that theparameters of the trained model have been selected to minimize the empiricalloss function. Aided by this insight, we formulate a new IBO that accounts forthis property of the parameters of the trained model, and derive and optimize avariational bound on this IBO.", Sayandev Mukherjee,http://arxiv.org/abs/1912.06248
34,A scaling-invariant algorithm for linear programming whose running time depends only on the constraint matrix.,"Following the breakthrough work of Tardos in the bit-complexity model,Vavasis and Ye gave the first exact algorithm for linear programming in thereal model of computation with running time depending only on the constraintmatrix. For solving a linear program (LP) $\max\, c^\top x,\: Ax = b,\: x \geq0,\: A \in \mathbb{R}^{m \times n}$, Vavasis and Ye developed a primal-dualinterior point method using a &apos;layered least squares&apos; (LLS) step, and showedthat $O(n^{3.5} \log (\bar{\chi}_A+n))$ iterations suffice to solve (LP)exactly, where $\bar{\chi}_A$ is a condition measure controlling the size ofsolutions to linear systems related to $A$.</p><p>Monteiro and Tsuchiya, noting that the central path is invariant underrescalings of the columns of $A$ and $c$, asked whether there exists an LPalgorithm depending instead on the measure $\bar{\chi}^*_A$, defined as theminimum $\bar{\chi}_{AD}$ value achievable by a column rescaling $AD$ of $A$,and gave strong evidence that this should be the case. We resolve this openquestion affirmatively.</p><p>Our first main contribution is an $O(m^2 n^2 + n^3)$ time algorithm whichworks on the linear matroid of $A$ to compute a nearly optimal diagonalrescaling $D$ satisfying $\bar{\chi}_{AD} \leq n(\bar{\chi}^*)^3$. Thisalgorithm also allows us to approximate the value of $\bar{\chi}_A$ up to afactor $n (\bar{\chi}^*)^2$. As our second main contribution, we develop ascaling invariant LLS algorithm, together with a refined potential functionbased analysis for LLS algorithms in general. With this analysis, we derive animproved $O(n^{2.5} \log n\log (\bar{\chi}^*_A+n))$ iteration bound foroptimally solving (LP) using our algorithm. The same argument also yields afactor $n/\log n$ improvement on the iteration complexity bound of the originalVavasis-Ye algorithm."," Daniel Dadush, Sophie Huiberts, Bento Natura, L&#xe1;szl&#xf3; A. V&#xe9;gh",http://arxiv.org/abs/1912.06252
35,Unconstrained Facial Expression Transfer using Style-based Generator.,"Facial expression transfer and reenactment has been an important researchproblem given its applications in face editing, image manipulation, andfabricated videos generation. We present a novel method for image-based facialexpression transfer, leveraging the recent style-based GAN shown to be veryeffective for creating realistic looking images. Given two face images, ourmethod can create plausible results that combine the appearance of one imageand the expression of the other. To achieve this, we first propose anoptimization procedure based on StyleGAN to infer hierarchical style vectorfrom an image that disentangle different attributes of the face. We furtherintroduce a linear combination scheme that fuses the style vectors of the twogiven images and generate a new face that combines the expression andappearance of the inputs. Our method can create high-quality synthesis withaccurate facial reenactment. Unlike many existing methods, we do not rely ongeometry annotations, and can be applied to unconstrained facial images of anyidentities without the need for retraining, making it feasible to generatelarge-scale expression-transferred results."," Chao Yang, Ser-Nam Lim",http://arxiv.org/abs/1912.06253
36,Theoretically-Efficient and Practical Parallel DBSCAN.,"The DBSCAN method for spatial clustering has received significant attentiondue to its applicability in a variety of data analysis tasks. There are fastsequential algorithms for DBSCAN in Euclidean space that take $O(n\log n)$ workfor two dimensions, sub-quadratic work for three or more dimensions, and can becomputed approximately in linear work for any constant number of dimensions.However, existing parallel DBSCAN algorithms require quadratic work in theworst case, making them inefficient for large datasets. This paper bridges thegap between theory and practice of parallel DBSCAN by presenting new parallelalgorithms for Euclidean exact DBSCAN and approximate DBSCAN that match thework bounds of their sequential counterparts, and are highly parallel(polylogarithmic depth). We present implementations of our algorithms alongwith optimizations that improve their practical performance. We perform acomprehensive experimental evaluation of our algorithms on a variety ofdatasets and parameter settings. Our experiments on a 36-core machine withhyper-threading show that we outperform existing parallel DBSCANimplementations by up to several orders of magnitude, and achieve speedups byup to 33x over the best sequential algorithms."," Yiqiu Wang, Yan Gu, Julian Shun",http://arxiv.org/abs/1912.06255
37,Mcity Data Collection for Automated Vehicles Study.,"The main goal of this paper is to introduce the data collection effort atMcity targeting automated vehicle development. We captured a comprehensive setof data from a set of perception sensors (Lidars, Radars, Cameras) as well asvehicle steering/brake/throttle inputs and an RTK unit. Two in-cabin camerasrecord the human driver&apos;s behaviors for possible future use. The naturalisticdriving on selected open roads is recorded at different time of day and weatherconditions. We also perform designed choreography data collection inside theMcity test facility focusing on vehicle to vehicle, and vehicle to vulnerableroad user interactions which is quite unique among existing open-sourcedatasets. The vehicle platform, data content, tags/labels, and selectedanalysis results are shown in this paper."," Yiqun Dong, Yuanxin Zhong, Wenbo Yu, Minghan Zhu, Pingping Lu, Yeyang Fang, Jiajun Hong, Huei Peng",http://arxiv.org/abs/1912.06258
38,A predictive path-following controller for multi-steered articulated vehicles.,"Stabilizing multi-steered articulated vehicles in backward motion is acomplex task for any human driver. Unless the vehicle is accurately steered,its structurally unstable joint-angle kinematics during reverse maneuvers cancause the vehicle segments to fold and enter a jack-knife state. In this work,a model predictive path-following controller is proposed enabling automaticlow-speed steering control of multi-steered articulated vehicles, comprising acar-like tractor and an arbitrary number of trailers with passive or activesteering. The proposed path-following controller is tailored to follow nominalpaths that contains full state and control-input information, and is designedto satisfy various physical constraints on the vehicle states as well assaturations and rate limitations on the tractor&apos;s curvature and the trailersteering angles. The performance of the proposed model predictivepath-following controller is evaluated in a set of simulations for amulti-steered 2-trailer with a car-like tractor where the last trailer hassteerable wheels."," Oskar Ljungqvist, Daniel Axehill",http://arxiv.org/abs/1912.06259
39,Extracting clinical concepts from user queries.,"Clinical concept extraction often begins with clinical Named EntityRecognition (NER). Often trained on annotated clinical notes, clinical NERmodels tend to struggle with tagging clinical entities in user queries becauseof the structural differences between clinical notes and user queries. Userqueries, unlike clinical notes, are often ungrammatical and incoherent. In manycases, user queries are compounded of multiple clinical entities, without commaor conjunction words separating them. By using as dataset a mixture ofannotated clinical notes and synthesized user queries, we adapt a clinical NERmodel based on the BiLSTM-CRF architecture for tagging clinical entities inuser queries. Our contribution are the following: 1) We found that when trainedon a mixture of synthesized user queries and clinical notes, the NER modelperforms better on both user queries and clinical notes. 2) We provide anend-to-end and easy-to-implement framework for clinical concept extraction fromuser queries."," Yue Zhao, John Handley",http://arxiv.org/abs/1912.06262
40,Optimization-based motion planning for multi-steered articulated vehicles.,"The task of maneuvering a multi-steered articulated vehicle in confinedenvironments is difficult even for experienced drivers. In this work, wepresent an optimization-based trajectory planner targeting low-speed maneuversin unstructured environments for multi-steered N-trailer vehicles, which arecomprised of a car-like tractor and an arbitrary number of interconnectedtrailers with fixed or steerable wheels. The proposed trajectory planningframework is divided into two steps, where a lattice-based trajectory planneris used in a first step to compute a resolution optimal solution to adiscretized version of the trajectory planning problem. The output from thelattice planner is then used in a second step to initialize an optimal controlproblem solver, which enables the framework to compute locally optimaltrajectories that start at the vehicle&apos;s initial state and reaches the goalstate exactly. The performance of the proposed optimization-based trajectoryplanner is evaluated in a set of practically relevant scenarios for amulti-steered 3-trailer vehicle with a car-like tractor where the last traileris steerable."," Oskar Ljungqvist, Kristoffer Bergman, Daniel Axehill",http://arxiv.org/abs/1912.06264
41,Towards Disentangled Representations for Human Retargeting by Multi-view Learning.,"We study the problem of learning disentangled representations for data acrossmultiple domains and its applications in human retargeting. Our goal is to mapan input image to an identity-invariant latent representation that capturesintrinsic factors such as expressions and poses. To this end, we present anovel multi-view learning approach that leverages various data sources such asimages, keypoints, and poses. Our model consists of multiple id-conditionedVAEs for different views of the data. During training, we encourage the latentembeddings to be consistent across these views. Our observation is thatauxiliary data like keypoints and poses contain critical, id-agnostic semanticinformation, and it is easier to train a disentangling CVAE on these simplerviews to separate such semantics from other id-specific attributes. We showthat training multi-view CVAEs and encourage latent-consistency guides theimage encoding to preserve the semantics of expressions and poses, leading toimproved disentangled representations and better human retargeting results."," Chao Yang, Xiaofeng Liu, Qingming Tang, C.-C. Jay Kuo",http://arxiv.org/abs/1912.06265
42,Inferring Distributions Over Depth from a Single Image.,"When building a geometric scene understanding system for autonomous vehicles,it is crucial to know when the system might fail. Most contemporary approachescast the problem as depth regression, whose output is a depth value for eachpixel. Such approaches cannot diagnose when failures might occur. Oneattractive alternative is a deep Bayesian network, which captures uncertaintyin both model parameters and ambiguous sensor measurements. However, estimatinguncertainties is often slow and the distributions are often limited to beuni-modal. In this paper, we recast the continuous problem of depth regressionas discrete binary classification, whose output is an un-normalizeddistribution over possible depths for each pixel. Such output allows one toreliably and efficiently capture multi-modal depth distributions in ambiguouscases, such as depth discontinuities and reflective surfaces. Results onstandard benchmarks show that our method produces accurate depth predictionsand significantly better uncertainty estimations than prior art while runningnear real-time. Finally, by making use of uncertainties of the predicteddistribution, we significantly reduce streak-like artifacts and improvesaccuracy as well as memory efficiency in 3D map reconstruction."," Gengshan Yang, Peiyun Hu, Deva Ramanan",http://arxiv.org/abs/1912.06268
43,Learning and Optimization with Bayesian Hybrid Models.,"Bayesian hybrid models fuse physics-based insights with machine learningconstructs to correct for systematic bias. In this paper, we compare Bayesianhybrid models against physics-based glass-box and Gaussian process black-boxsurrogate models. We consider ballistic firing as an illustrative case studyfor a Bayesian decision-making workflow. First, Bayesian calibration isperformed to estimate model parameters. We then use the posterior distributionfrom Bayesian analysis to compute optimal firing conditions to hit a target viaa single-stage stochastic program. The case study demonstrates the ability ofBayesian hybrid models to overcome systematic bias from missing physics withless data than the pure machine learning approach. Ultimately, we argueBayesian hybrid models are an emerging paradigm for data-informeddecision-making under parametric and epistemic uncertainty."," Elvis A. Eugene, Xian Gao, Alexander W. Dowling",http://arxiv.org/abs/1912.06269
44,An Asymptotically Compatible Formulation for Local-to-Nonlocal Coupling Problems without Overlapping Regions.,"In this paper we design and analyze an explicit partitioned procedure for a2D dynamic local-to-nonlocal (LtN) coupling problem, based on a new nonlocalRobin-type transmission condition. The nonlocal subproblem is modeled by thenonlocal heat equation with a finite horizon parameter $\delta$ characterizingthe range of nonlocal interactions, and the local subproblem is described bythe classical heat equation. We consider a heterogeneous system where the localand nonlocal subproblems present different physical properties, and employ nooverlapping region between the two subdomains. We first propose a newgeneralization of classical local Neumann-type condition by converting thelocal flux to a correction term in the nonlocal model, and show that theproposed Neumann-type boundary formulation recovers the local case as$O(\delta^2)$ in the $L^{\infty}$ norm. We then extend the nonlocalNeumann-type boundary condition to a Robin-type boundary condition, and developa local-to-nonlocal coupling formulation with Robin-Dirichlet transmissionconditions. To stabilize the explicit coupling procedure and to achieveasymptotic compatibility, the choice of the coefficient in the Robin conditionis obtained via amplification factor analysis for the discretized system withcoarse grids. Employing a high-order meshfree discretization method in thenonlocal solver and a linear finite element method in the local solver, theselection of optimal Robin coefficients are verified with numerical experimentson heterogeneous and complicated domains. With the developed optimal couplingstrategy, we numerically demonstrate the coupling framework&apos;s asymptoticconvergence to the local limit with an $O(\delta)=O(h)$ rate, when there is afixed ratio between the horizon size $\delta$ and the spatial discretizationsize $h$."," Huaiqian You, Yue Yu, David Kamensky",http://arxiv.org/abs/1912.06270
45,Federated learning with multichannel ALOHA.,"In this paper, we study federated learning in a cellular system with a basestation (BS) and a large number of users with local data sets. We show thatmultichannel random access can provide a better performance than sequentialpolling when some users are unable to compute local updates (due to othertasks) or in dormant state. In addition, for better aggregation in federatedlearning, the access probabilities of users can be optimized for given localupdates. To this end, we formulate an optimization problem and show that adistributed approach can be used within federated learning to adaptively decidethe access probabilities."," Jinho Choi, Shiva Raj Pokhrel",http://arxiv.org/abs/1912.06273
46,Joint Viewpoint and Keypoint Estimation with Real and Synthetic Data.,"The estimation of viewpoints and keypoints effectively enhance objectdetection methods by extracting valuable traits of the object instances. Whilethe output of both processes differ, i.e., angles vs. list of characteristicpoints, they indeed share the same focus on how the object is placed in thescene, inducing that there is a certain level of correlation between them.Therefore, we propose a convolutional neural network that jointly computes theviewpoint and keypoints for different object categories. By training both taskstogether, each task improves the accuracy of the other. Since the labelling ofobject keypoints is very time consuming for human annotators, we also introducea new synthetic dataset with automatically generated viewpoint and keypointsannotations. Our proposed network can also be trained on datasets that containviewpoint and keypoints annotations or only one of them. The experiments showthat the proposed approach successfully exploits this implicit correlationbetween the tasks and outperforms previous techniques that are trainedindependently."," Pau Panareda Busto, Juergen Gall",http://arxiv.org/abs/1912.06274
47,On Low-complexity Lattice Reduction Algorithms for Large-scale MIMO Detection: the Blessing of Sequential Reduction.,"Lattice reduction is a popular preprocessing strategy in multiple-inputmultiple-output (MIMO) detection. In a quest for developing a low-complexityreduction algorithm for large-scale problems, this paper investigates a newframework called sequential reduction (SR), which aims to reduce the lengths ofall basis vectors. The performance upper bounds of the strongest reduction inSR are given when the lattice dimension is no larger than 4. The proposed newframework enables the implementation of a hash-based low-complexity latticereduction algorithm, which becomes especially tempting when applied tolarge-scale MIMO detection. Simulation results show that, compared to otherreduction algorithms, the hash-based SR algorithm exhibits the lowestcomplexity while maintaining comparable error performance."," Shanxiang Lyu, Jinming Wen, Jian Weng, Cong Ling",http://arxiv.org/abs/1912.06278
48,Joint AGC and Receiver Design for Large-Scale MU-MIMO Systems with Coarsely Quantized Signals and C-RANs.,"In this work, we propose the joint optimization of the automatic gain control(AGC), which works in the remote radio heads (RHHs), and a low-resolution aware(LRA) linear receive filter based on the minimum mean square error (MMSE),which works on the baseband unit (BBU) pool, for large-scale multi-usermultiple-input multiple-output (MU-MIMO) systems with coarsely quantizedsignals in cloud radio access networks. We develop successive interferencecancellation receivers based on the proposed joint AGC and LRA-MMSE(AGC-LRA-MMSE) approach. An analysis of the achievable sum rates is alsocarried out. Simulations show that the proposed design has better error ratesand higher achievable rates than existing techniques."," T. Cunha, R. C. de Lamare, T. N. Ferreira",http://arxiv.org/abs/1912.06282
49,Mission Oriented Miniature Fixed-wing UAV Swarms: A Multi-layered and Distributed Architecture.,"UAV swarms have triggered wide concern due to their potential applicationvalues in recent years. While there are studies proposed in terms of thearchitecture design for UAV swarms, two main challenges still exist: (1)Scalability, supporting a large scale of vehicles; (2) Versatility, integratingdiversified missions. To this end, a multi-layered and distributed architecturefor mission oriented miniature fixed-wing UAV swarms is presented in thispaper. The proposed architecture is built on the concept of modularity. Itdivides the overall system to five layers: low-level control, high-levelcontrol, coordination, communication and human interaction layers, and manymodules that can be viewed as black boxes with interfaces of inputs andoutputs. In this way, not only the complexity of developing a large system canbe reduced, but also the versatility of supporting diversified missions can beensured. Furthermore, the proposed architecture is fully distributed that eachUAV performs the decision-making procedure autonomously so as to achieve betterscalability. Moreover, different kinds of aerial platforms can be feasiblyextended by using the control allocation matrices and the integrated hardwarebox. A prototype swarm system based on the proposed architecture is built andthe proposed architecture is evaluated through field experiments with a scaleof 21 fixed-wing UAVs. Particularly, to the best of our knowledge, this paperis the first work which successfully demonstrates formation flight, targetrecognition and tracking missions within an integrated architecture forfixed-wing UAV swarms through field experiments."," Zhihong Liu, Xiangke Wang, Lincheng Shen, Shulong Zhao, Yirui Cong, Jie Li, Dong Yin, Shengde Jia, Xiaojia Xiang",http://arxiv.org/abs/1912.06285
50,Meta-Learning Initializations for Image Segmentation.,"While meta-learning approaches that utilize neural network representationshave made progress in few-shot image classification, reinforcement learning,and, more recently, image semantic segmentation, the training algorithms andmodel architectures have become increasingly specialized to the few-shotdomain. A natural question that arises is how to develop learning systems thatscale from few-shot to many-shot settings while yielding competitiveperformance in both. One scalable potential approach that does not requireensembling many models nor the computational costs of relation networks, is tometa-learn an initialization. In this work, we study first-order meta-learningof initializations for deep neural networks that must produce dense, structuredpredictions given an arbitrary amount of training data for a new task. Ourprimary contributions include (1), an extension and experimental analysis offirst-order model agnostic meta-learning algorithms (including FOMAML andReptile) to image segmentation, (2) a novel neural network architecture builtfor parameter efficiency and fast learning which we call EfficientLab, (3) aformalization of the generalization error of meta-learning algorithms, which weleverage to decrease error on unseen tasks, and (4) a small benchmark dataset,FP-k, for the empirical study of how meta-learning systems perform in both few-and many-shot settings. We show that meta-learned initializations for imagesegmentation provide value for both canonical few-shot learning problems andlarger datasets, outperforming ImageNet-trained initializations for up to 400densely labeled examples. We find that our network, with an empiricallyestimated optimal update procedure, yields state of the art results on theFSS-1000 dataset while only requiring one forward pass through a single modelat evaluation time."," Sean M. Hendryx, Andrew B. Leach, Paul D. Hein, Clayton T. Morrison",http://arxiv.org/abs/1912.06290
51,More Efficient Off-Policy Evaluation through Regularized Targeted Learning.,"We study the problem of off-policy evaluation (OPE) in Reinforcement Learning(RL), where the aim is to estimate the performance of a new policy givenhistorical data that may have been generated by a different policy, orpolicies. In particular, we introduce a novel doubly-robust estimator for theOPE problem in RL, based on the Targeted Maximum Likelihood Estimationprinciple from the statistical causal inference literature. We also introduceseveral variance reduction techniques that lead to impressive performance gainsin off-policy evaluation. We show empirically that our estimator uniformly winsover existing off-policy evaluation methods across multiple RL environments andvarious levels of model misspecification. Finally, we further the existingtheoretical analysis of estimators for the RL off-policy estimation problem byshowing their $O_P(1/\sqrt{n})$ rate of convergence and characterizing theirasymptotic distribution."," Aur&#xe9;lien F. Bibaut, Ivana Malenica, Nikos Vlassis, Mark J. van der Laan",http://arxiv.org/abs/1912.06292
52,A Practical Solution for SAR Despeckling with Only Single Speckled Images.,"In this letter, we aim to address synthetic aperture radar (SAR) despecklingproblem with the necessity of neither clean (speckle-free) SAR images norindependent speckled image pairs from the same scene, a practical solution forSAR despeckling (PSD) is proposed. Firstly, to generate speckled-to-speckled(S2S) image pairs from the same scene in the situation of only single speckledSAR images are available, an adversarial learning framework is designed. Then,the S2S SAR image pairs are employed to train a modified despecklingNested-UNet model using the Noise2Noise (N2N) strategy. Moreover, an iterativeversion of the PSD method (PSDi) is also proposed. The performance of theproposed methods is demonstrated by both synthetic speckled and real SAR data.SAR block-matching 3-D algorithm (SAR-BM3D) and SAR dilated residual network(SAR-DRN) are used in the visual and quantitative comparison. Experimentalresults show that the proposed methods can reach a good tradeoff betweenspeckle suppression and edge preservation."," Ye Yuan, Jianguo Sun, Jian Guan, Pengming Feng, Yanxia Wu",http://arxiv.org/abs/1912.06295
53,On Privatizing Equilibrium Computation in Aggregate Games over Networks.,"We propose a distributed algorithm to compute an equilibrium in aggregategames where players communicate over a fixed undirected network. Our algorithmexploits correlated perturbation to obfuscate information shared over thenetwork. We prove that our algorithm does not reveal private information ofplayers to an honest-but-curious adversary who monitors several nodes in thenetwork. In contrast with differential privacy based algorithms, our methoddoes not sacrifice accuracy of equilibrium computation to provide privacyguarantees."," Shripad Gade, Anna Winnicki, Subhonmesh Bose",http://arxiv.org/abs/1912.06296
54,Differential tomography of micromechanical evolution in elastic materials of unknown micro/macrostructure.,"Differential evolution indicators are introduced for 3D spatiotemporalimaging of micromechanical processes in complex materials where progressivevariations due to manufacturing and/or aging are housed in a highly scatteringbackground of a-priori unknown or uncertain structure. In this vein, athree-tier imaging platform is established where: (1) the domain isperiodically (or continuously) subject to illumination and sensing in anarbitrary configuration; (2) sequential sets of measured data are deployed todistill segment-wise scattering signatures of the domain&apos;s internal structurethrough carefully constructed, non-iterative solutions to the scatteringequation; and (3) the resulting solution sequence is then used to rigorouslyconstruct an imaging functional carrying appropriate invariance with respect tothe unknown stationary components of the background e.g., pre-existinginterstitial boundaries and bubbles. This gives birth to differentialindicators that specifically recover the 3D support of micromechanicalevolution within a network of unknown scatterers. The direct scattering problemis formulated in the frequency domain where the background is comprised of arandom distribution of monolithic fragments. The constituents are connected viahighly heterogeneous interfaces of unknown elasticity and dissipation which aresubject to spatiotemporal evolution. The support of internal boundaries aresequentially illuminated by a set of incident waves and thus-induced scatteredfields are captured over a generic observation surface. The performance of theproposed imaging indicator is illustrated through a set of numericalexperiments for spatiotemporal reconstruction of progressive damage zonesfeaturing randomly distributed cracks and bubbles."," Fatemeh Pourahmadian, Houssem Haddar",http://arxiv.org/abs/1912.06298
55,The SBP Algorithm for Maximizing Revenue in Online Dial-a-Ride.,"In the Online-Dial-a-Ride Problem (OLDARP) a server travels through a metricspace to serve requests for rides. We consider a variant where each requestspecifies a source, destination, release time, and revenue that is earned forserving the request. The goal is to maximize the total revenue earned within agiven time limit. We prove that no non-preemptive deterministic onlinealgorithm for OLDARP can be guaranteed to earn more than twice the revenueearned by an optimal offline solution. We then investigate the\textsc{segmented best path} ($SBP$) algorithm of~\cite{atmos17} for thegeneral case of weighted graphs. The previously-established lower and upperbounds for the competitive ratio of $SBP$ are 4 and 6, respectively, underreasonable assumptions about the input instance. We eliminate the gap byproving that the competitive ratio is 5 (under the same reasonableassumptions). We also prove that when revenues are uniform, $SBP$ hascompetitive ratio 4. Finally, we provide a competitive analysis of $SBP$ oncomplete bipartite graphs."," Ananya Christman, Christine Chung, Nicholas Jaczko, Tianzhi Li, Scott Westvold, Xinyue Xu",http://arxiv.org/abs/1912.06300
56,Recruitment-imitation Mechanism for Evolutionary Reinforcement Learning.,"Reinforcement learning, evolutionary algorithms and imitation learning arethree principal methods to deal with continuous control tasks. Reinforcementlearning is sample efficient, yet sensitive to hyper-parameters setting andneeds efficient exploration; Evolutionary algorithms are stable, but with lowsample efficiency; Imitation learning is both sample efficient and stable,however it requires the guidance of expert data. In this paper, we proposeRecruitment-imitation Mechanism (RIM) for evolutionary reinforcement learning,a scalable framework that combines advantages of the three methods mentionedabove. The core of this framework is a dual-actors and single criticreinforcement learning agent. This agent can recruit high-fitness actors fromthe population of evolutionary algorithms, which instructs itself to learn fromexperience replay buffer. At the same time, low-fitness actors in theevolutionary population can imitate behavior patterns of the reinforcementlearning agent and improve their adaptability. Reinforcement and imitationlearners in this framework can be replaced with any off-policy actor-criticreinforcement learner or data-driven imitation learner. We evaluate RIM on aseries of benchmarks for continuous control tasks in Mujoco. The experimentalresults show that RIM outperforms prior evolutionary or reinforcement learningmethods. The performance of RIM&apos;s components is significantly better thancomponents of previous evolutionary reinforcement learning algorithm, and therecruitment using soft update enables reinforcement learning agent to learnfaster than that using hard update."," Shuai L&#xfc;, Shuai Han, Wenbo Zhou, Junwei Zhang",http://arxiv.org/abs/1912.06310
57,Short-duration Speaker Verification (SdSV) Challenge 2020: the Challenge Evaluation Plan.,This document describes task1 of the Short-Duration Speaker VerificationChallenge (SdSVC) 2020. The main aim of the challenge is to evaluate newtechnologies for text-dependent speaker verification (TD-SV). There is one moretask in the SdSVC which is text-independent speaker verification which isexplained in a separate description file. The evaluation dataset in thechallenge is recently released multi-purpose DeepMine dataset. The dataset hasthree parts and among them part1 is for text-dependent speaker verification.," Hossein Zeinali, Kong Aik Lee, Jahangir Alam, Lukas Burget",http://arxiv.org/abs/1912.06311
58,Identity Preserve Transform: Understand What Activity Classification Models Have Learnt.,"Activity classification has observed great success recently. The performanceon small dataset is almost saturated and people are moving towards largerdatasets. What leads to the performance gain on the model and what the modelhas learnt? In this paper we propose identity preserve transform (IPT) to studythis problem. IPT manipulates the nuisance factors (background, viewpoint,etc.) of the data while keeping those factors related to the task (humanmotion) unchanged. To our surprise, we found popular models are using highlycorrelated information (background, object) to achieve high classificationaccuracy, rather than using the essential information (human motion). This canexplain why an activity classification model usually fails to generalize todatasets it is not trained on. We implement IPT in two forms, i.e. image-spacetransform and 3D transform, using synthetic images. The tool will be madeopen-source to help study model and dataset design."," Jialing Lyu, Weichao Qiu, Xinyue Wei, Yi Zhang, Alan Yuille, Zheng-Jun Zha",http://arxiv.org/abs/1912.06314
59,Grounding-Tracking-Integration.,"In this paper, we study tracking by language that localizes the target boxsequence in a video based on a language query. We propose a framework calledGTI that decomposes the problem into three sub-tasks: Grounding, Tracking andIntegration. The three sub-task modules operate simultaneously and predict thebox sequence frame-by-frame. ""Grounding"" predicts the referred region directlyfrom the language query. ""Tracking"" localizes the target based on the historyof the grounded regions in previous frames. ""Integration"" generates finalpredictions by synergistically combining grounding and tracking. With the""integration"" task as the key, we explore how to indicate the quality of thegrounded regions in each frame and achieve the desired mutually beneficialcombination. To this end, we propose an ""RT-integration"" method that definesand predicts two scores to guide the integration: 1) R-score represents theRegion correctness whether the grounding prediction accurately covers thetarget, and 2) T-score represents the Template quality whether the regionprovides informative visual cues to improve tracking in future frames. Wepresent our real-time GTI implementation with the proposed RT-integration, andbenchmark the framework on LaSOT and Lingual OTB99 with highly promisingresults. Moreover, a disambiguated version of LaSOT queries can be used tofacilitate future tracking by language studies."," Zhengyuan Yang, Tushar Kumar, Tianlang Chen, Jiebo Luo",http://arxiv.org/abs/1912.06316
60,Small Object Detection using Context and Attention.,"There are many limitations applying object detection algorithm on variousenvironments. Especially detecting small objects is still challenging becausethey have low resolution and limited information. We propose an objectdetection method using context for improving accuracy of detecting smallobjects. The proposed method uses additional features from different layers ascontext by concatenating multi-scale features. We also propose object detectionwith attention mechanism which can focus on the object in image, and it caninclude contextual information from target layer. Experimental results showsthat proposed method also has higher accuracy than conventional SSD ondetecting small objects. Also, for 300$\times$300 input, we achieved 78.1% MeanAverage Precision (mAP) on the PASCAL VOC2007 test set."," Jeong-Seon Lim, Marcella Astrid, Seung-Ik Lee, Hyun-Jin Yoon",http://arxiv.org/abs/1912.06319
